date,time,event,platform,ad_id,client_union_id,campaign_union_id,ad_cost_type,ad_cost,has_video,target_audience_count
2025-05-06,2025-05-06 20:11:08,click,mobile,184,10050,20084,cpv,4.21,0,137713
2025-05-04,2025-05-04 13:00:08,click,mobile,139,10033,20009,cpv,4.99,1,111423
2025-05-01,2025-05-01 20:54:50,view,tablet,150,10070,20054,cpc,3.84,0,23678
2025-05-04,2025-05-04 03:51:30,install,tablet,122,10091,20084,cpi,2.17,1,19049
2025-05-03,2025-05-03 18:07:44,purchase,tablet,192,10062,20032,cpm,2.73,0,111181
2025-05-04,2025-05-04 06:53:49,view,mobile,107,10036,20087,cpm,1.63,0,195572
2025-05-06,2025-05-06 05:39:14,install,web,119,10048,20027,cpc,3.01,1,138902
2025-05-06,2025-05-06 16:44:41,install,web,120,10084,20047,cpm,0.61,1,36882
2025-05-05,2025-05-05 16:17:35,install,tablet,103,10077,20085,cpv,1.25,1,179439
2025-05-04,2025-05-04 10:31:46,install,mobile,108,10079,20092,cpm,4.33,0,35458
2025-05-01,2025-05-01 19:29:09,install,tablet,197,10084,20032,cpv,3.56,0,132161
2025-05-02,2025-05-02 14:23:34,view,smart_tv,169,10052,20009,cpc,3.34,1,68194
2025-05-04,2025-05-04 07:32:33,purchase,smart_tv,120,10004,20087,cpm,3.82,0,196085
2025-05-02,2025-05-02 13:51:51,view,mobile,198,10097,20067,cpm,1.76,1,60882
2025-05-05,2025-05-05 02:06:56,view,web,105,10052,20099,cpv,1.66,1,140321
2025-05-03,2025-05-03 16:53:19,view,tablet,138,10049,20038,cpv,2.85,0,178720
2025-05-03,2025-05-03 07:44:10,install,mobile,143,10038,20083,cpv,1.02,0,147676
2025-05-05,2025-05-05 03:17:31,view,mobile,154,10049,20070,cpi,3.91,0,187693
2025-05-01,2025-05-01 02:37:33,click,mobile,135,10041,20074,cpc,3.76,1,168539
2025-05-04,2025-05-04 21:41:42,click,mobile,132,10073,20083,cpv,2.31,1,57032
2025-05-06,2025-05-06 21:05:21,view,web,114,10065,20055,cpm,1.21,1,33397
2025-05-04,2025-05-04 03:20:35,click,mobile,179,10073,20031,cpv,3.04,1,63409
2025-05-04,2025-05-04 06:51:23,view,tablet,146,10062,20054,cpc,4.09,1,66312
2025-05-06,2025-05-06 19:17:44,install,web,188,10063,20082,cpc,4.08,1,108377
2025-05-06,2025-05-06 10:27:55,view,web,198,10042,20011,cpv,2.02,1,154219
2025-05-02,2025-05-02 03:15:20,install,mobile,144,10015,20099,cpc,2.39,1,139003
2025-05-02,2025-05-02 04:34:44,click,tablet,157,10068,20090,cpv,3.68,1,26821
2025-05-06,2025-05-06 14:26:02,click,smart_tv,190,10080,20089,cpc,2.18,1,178293
2025-05-03,2025-05-03 00:51:21,click,smart_tv,149,10048,20045,cpm,3.21,0,166968
2025-05-06,2025-05-06 07:24:08,view,mobile,176,10080,20028,cpi,0.68,0,10728
2025-05-02,2025-05-02 02:26:35,click,mobile,163,10004,20040,cpc,1.37,0,110670
2025-05-02,2025-05-02 13:21:29,click,tablet,119,10011,20045,cpm,4.58,1,144917
2025-05-01,2025-05-01 22:09:30,click,tablet,101,10043,20027,cpc,1.01,1,174792
2025-05-02,2025-05-02 16:35:55,view,mobile,129,10061,20034,cpm,3.53,0,69062
2025-05-04,2025-05-04 13:47:57,click,tablet,129,10034,20059,cpi,3.01,0,41470
2025-05-02,2025-05-02 20:41:40,view,mobile,152,10087,20019,cpc,1.5,1,167030
2025-05-05,2025-05-05 18:17:22,view,tablet,159,10010,20049,cpv,1.29,0,41995
2025-05-05,2025-05-05 10:55:19,install,mobile,170,10083,20096,cpi,4.3,0,11320
2025-05-06,2025-05-06 21:03:55,click,smart_tv,160,10012,20041,cpi,0.6,1,186625
2025-05-01,2025-05-01 00:30:14,click,tablet,199,10016,20092,cpc,4.06,0,56887
2025-05-02,2025-05-02 17:11:30,click,tablet,140,10051,20092,cpi,2.66,1,193141
2025-05-04,2025-05-04 14:53:52,purchase,smart_tv,158,10069,20085,cpi,1.32,1,143035
2025-05-03,2025-05-03 18:43:46,purchase,smart_tv,172,10030,20000,cpc,4.27,1,93378
2025-05-05,2025-05-05 10:40:08,click,web,173,10041,20036,cpc,3.39,0,47876
